Design_id|Locarno_class
620653|12-08
620654|12-08
620655|12-08
620656|12-08
620657|12-08
620792|14-04
620793|14-04
620794|14-04
620795|14-04
620796|14-04
620797|14-04
620798|14-04
620799|14-04
620800|14-04
620801|14-04
620802|14-04
620803|14-04
620804|14-04
620805|14-04
620806|14-04
620815|25-02
620816|14-01
620817|14-01
620818|14-01
620831|26-04
620832|26-04
620833|26-04
620834|26-04
620835|26-04
620836|26-04
620837|26-04
620838|08-03
620879|19-02
620896|21-01
620897|21-01
620898|21-01
620899|21-01
620900|21-01
620901|21-01
620902|21-01
620903|21-01
620904|21-01
620905|21-01
620906|21-01
620915|31-00
620916|31-00
620917|31-00
620918|31-00
620919|31-00
620920|31-00
620921|28-03
620930|12-08
620931|12-08
620932|06-01
620970|03-01
620971|03-01
620972|03-01
620973|12-05
620974|12-05
620975|12-05
620983|14-03
620986|14-01
620987|14-01
620991|14-02
620993|15-06
620994|14-03
620995|14-03
620999|14-02
621000|14-02
621015|14-99
621016|14-99
621017|14-99
621018|14-99
621019|14-99
621020|14-99
621021|14-99
621022|14-99
621023|14-99
621024|14-99
621025|14-99
621026|04-02
621027|04-02
621028|04-02
621082|23-02
621083|09-07
621084|09-07
621197|27-99
621198|27-99
621199|27-99
621200|27-99
621201|27-99
621202|27-99
621203|27-99
621204|27-99
621205|27-99
621206|16-01
621207|16-06
621208|16-06
621209|16-06
621210|16-05
621211|16-05
621218|04-02
621219|04-02
621220|04-02
621221|06-10
621222|06-10
621231|23-04
621232|10-05
621233|09-01
621234|09-01
621235|09-01
621236|09-01
621239|09-07
621240|09-07
621241|09-07
621242|09-07
621243|09-07
621244|09-07
621255|26-01
621256|26-01
621258|23-04
621259|13-03
621274|16-01
621275|16-01
621276|16-01
621277|24-02
621437|24-01
621445|13-02
621446|13-02
621447|14-03
621448|14-03
621449|14-03
621450|14-03
621451|14-03
621452|14-03
621453|14-03
621454|14-03
621455|14-03
621456|14-03
621457|14-03
621458|14-03
621459|14-03
621460|14-03
621461|14-03
621462|14-03
621463|14-02
621464|14-04
621465|14-04
621466|14-04
621467|14-04
621468|14-04
621469|24-01
621470|24-01
621471|24-01
621472|24-01
621473|24-01
621487|14-03
621502|28-03
621503|28-03
621520|14-01
621521|14-01
621522|14-01
621523|13-02
621524|13-03
621563|26-04
621564|26-04
621565|23-04
621566|14-03
621569|05-06
621570|16-05
621571|16-05
621572|16-05
621573|16-05
621574|16-05
621575|16-05
621576|16-05
621577|16-05
621582|14-02
621583|14-02
621584|14-02
621585|14-02
621586|14-02
621587|14-02
621590|14-02
621591|14-02
621592|14-99
621593|14-99
621594|14-02
621594|16-03
621595|14-03
621596|14-02
621597|14-02
621598|14-03
621599|14-02
621600|14-02
621614|09-03
621615|09-03
621622|14-03
621624|23-03
